smiles GAP_eV 
c1ccc2cc3c(ccc4cc5cc6ccc7ccccc7c6cc5cc43)cc2c1 2.024 
c1ccc2c(c1)ccc1cc3cc4c(ccc5c6ccccc6ccc45)cc3cc12 1.812 
c1ccc2c(c1)ccc1cc3cc4ccc5c6ccccc6ccc5c4cc3cc12 1.817 
c1ccc2cc3cc4c(ccc5c6ccccc6c6ccccc6c45)cc3cc2c1 1.603 
c1ccc2cc3cc4c(ccc5c4ccc4c6ccccc6ccc45)cc3cc2c1 1.712 
c1ccc2cc3cc4c(ccc5c6cc7ccccc7cc6ccc45)cc3cc2c1 1.553 
c1ccc2c(c1)ccc1c2ccc2ccc3ccc4c5ccccc5ccc4c3c21 2.644 
c1ccc2cc3cc4c(ccc5c4ccc4ccc6ccccc6c45)cc3cc2c1 1.702 
c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5ccccc5c4cc3cc12 2.07 
c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1ccc2ccccc2c14 1.81 
c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1c2ccccc2ccc41 1.819 
c1ccc2c(c1)ccc1cc3cc4c(ccc5ccc6ccccc6c54)cc3cc12 1.814 
c1ccc2c(c1)ccc1cc3cc4ccc5ccc6ccccc6c5c4cc3cc12 1.815 
c1ccc2cc3cc4cc5c(ccc6ccc7ccccc7c65)cc4cc3cc2c1 1.281 
c1ccc2cc3cc4cc5c(ccc6cc7ccccc7cc65)cc4cc3cc2c1 1.404 
c1ccc2cc3cc4cc5c(ccc6c7ccccc7ccc56)cc4cc3cc2c1 1.277 
c1ccc2cc3cc4cc5c6ccccc6c6ccccc6c5cc4cc3cc2c1 1.431 
c1ccc2c(c1)ccc1c2ccc2ccc3c(ccc4ccc5ccccc5c43)c21 2.553 
c1ccc2c(c1)ccc1cc3cc4cc5c(ccc6ccccc65)cc4cc3cc12 1.486 
c1ccc2c(c1)ccc1cc3cc4cc5ccc6ccccc6c5cc4cc3cc12 1.488 
c1ccc2cc3cc4cc5cc6c(ccc7ccccc76)cc5cc4cc3cc2c1 1.036 
c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3c4ccccc4ccc3c12 2.555 
c1ccc2c(c1)ccc1c2ccc2ccc3c4ccccc4c4ccccc4c3c21 2.49 
c1ccc2c(c1)ccc1ccc3c(ccc4ccc5ccc6ccccc6c5c43)c12 2.647 
c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3ccc4ccccc4c3c12 2.552 
c1ccc2c(c1)ccc1ccc3c4ccc5ccc6ccccc6c5c4ccc3c12 2.562 
c1ccc2c(c1)ccc1c2ccc2c3ccc4ccccc4c3c3ccccc3c12 2.604 
c1ccc2c(c1)ccc1c2ccc2c1ccc1c3ccccc3c3ccccc3c21 2.495 
c1ccc2c(c1)ccc1c3ccccc3c3c4ccccc4c4ccccc4c3c21 2.454 
c1ccc2c(c1)ccc1c2ccc2c1ccc1c3ccc4ccccc4c3ccc12 2.487 
c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2ccc3ccccc3c21 2.541 
c1ccc2c(c1)c1ccccc1c1c2ccc2c3ccccc3c3ccccc3c21 2.78 
c1ccc2c(c1)ccc1ccc3c(ccc4c5ccccc5c5ccccc5c43)c12 2.517 
c1ccc2c(c1)ccc1c2ccc2c3c4ccccc4ccc3c3ccccc3c12 2.546 
c1ccc2c(c1)ccc1c2ccc2c3ccccc3c3c4ccccc4ccc3c12 2.414 
c1ccc2c(c1)ccc1c2ccc2c3ccccc3c3ccc4ccccc4c3c12 2.491 
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccccc6c5c4c3c12 2.595 
c1ccc2cc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)cc2c1 2.173 
c1ccc2cc3c(ccc4ccc5ccc6cc7ccccc7cc6c5c43)cc2c1 2.199 
c1ccc2c(c1)ccc1c2c2ccccc2c2ccc3ccc4ccccc4c3c21 2.558 
c1ccc2cc3c(ccc4ccc5ccc6c7ccccc7ccc6c5c43)cc2c1 2.17 
c1ccc2cc3c(ccc4c5ccccc5c5cc6ccccc6cc5c34)cc2c1 1.932 
c1ccc2cc3c(ccc4ccc5cc6c(ccc7ccccc76)cc5c43)cc2c1 2.0 
c1ccc2cc3c(ccc4ccc5cc6ccc7ccccc7c6cc5c43)cc2c1 1.98 
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2c4ccccc4ccc2c13 2.392 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5c6ccccc6ccc5c43)cc12 2.401 
c1ccc2c(c1)ccc1cc3ccc4ccc5c6ccccc6ccc5c4c3cc12 2.404 
c1ccc2cc3c(ccc4ccc5c6ccccc6c6ccccc6c5c43)cc2c1 2.286 
c1ccc2cc3c(ccc4ccc5c6ccc7ccccc7c6ccc5c43)cc2c1 2.187 
c1ccc2cc3c(ccc4ccc5c(ccc6ccc7ccccc7c65)c43)cc2c1 2.171 
c1ccc2c(c1)ccc1c2c2ccc3ccccc3c2c2ccc3ccccc3c12 2.494 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccc4ccccc4c2cc31 2.543 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2c(ccc4ccccc42)cc31 2.535 
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1c2ccccc2ccc31 2.265 
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1cc2ccccc2cc31 2.641 
c1ccc2cc3c(ccc4cc5c(ccc6ccc7ccccc7c65)cc43)cc2c1 2.319 
c1ccc2cc3c(ccc4cc5c(ccc6cc7ccccc7cc65)cc43)cc2c1 2.155 
c1ccc2cc3c(ccc4cc5c(ccc6c7ccccc7ccc56)cc43)cc2c1 2.279 
c1ccc2cc3c(ccc4cc5c6ccccc6c6ccccc6c5cc43)cc2c1 2.359 
c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6ccccc6c5cc43)cc12 2.444 
c1ccc2c(c1)ccc1cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc12 2.353 
c1ccc2c(c1)ccc1c3ccc4ccccc4c3c3c4ccccc4ccc3c21 2.38 
c1ccc2c(c1)ccc1cc3ccc4cc5ccc6ccccc6c5cc4c3cc12 2.565 
c1ccc2cc3c(ccc4cc5ccc6c7ccccc7ccc6c5cc43)cc2c1 2.368 
c1ccc2cc3c(ccc4cc5ccc6cc7ccccc7cc6c5cc43)cc2c1 2.207 
c1ccc2cc3c(ccc4cc5ccc6ccc7ccccc7c6c5cc43)cc2c1 2.308 
c1ccc2c(c1)ccc1c3cc4ccc5ccc6ccccc6c5c4cc3ccc21 2.151 
c1ccc2c(c1)ccc1c3cc4ccc5c6ccccc6ccc5c4cc3ccc21 2.137 
c1ccc2c(c1)ccc1c3cc4c5ccccc5c5ccccc5c4cc3ccc21 2.43 
c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5c5ccccc5c34)cc12 2.219 
c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3ccc5ccccc5c34)cc12 2.339 
c1ccc2c(c1)ccc1cc3ccc4c5ccccc5c5ccccc5c4c3cc12 2.217 
c1ccc2c(c1)ccc1c3ccccc3c3c(ccc4ccc5ccccc5c43)c21 2.435 
c1ccc2c(c1)ccc1cc3ccc4c(ccc5ccc6ccccc6c54)c3cc12 2.366 
c1ccc2c(c1)ccc1c3cc4c(ccc5c6ccccc6ccc45)cc3ccc21 2.155 
c1ccc2c(c1)ccc1c3cc4c(ccc5ccc6ccccc6c54)cc3ccc21 2.145 
c1ccc2cc3c(ccc4c5ccccc5c5ccc6ccccc6c5c34)cc2c1 2.072 
c1ccc2cc3c(ccc4c5ccccc5c5c6ccccc6ccc5c34)cc2c1 2.079 
c1ccc2cc3c(ccc4c3ccc3c4ccc4ccc5ccccc5c43)cc2c1 2.165 
c1ccc2cc3c(ccc4c3ccc3c5cc6ccccc6cc5ccc34)cc2c1 2.212 
c1ccc2cc3c(ccc4c3ccc3c5ccc6ccccc6c5ccc43)cc2c1 2.167 
c1ccc2cc3c(ccc4c3ccc3c5ccccc5c5ccccc5c43)cc2c1 2.276 
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccc4ccccc4c2ccc31 2.391 
c1ccc2c(c1)ccc1c3ccc4ccc5ccccc5c4c3c3ccccc3c21 2.496 
c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3c5ccccc5ccc34)cc12 2.34 
c1ccc2c(c1)ccc1cc3ccc4c(ccc5c6ccccc6ccc54)c3cc12 2.391 
c1ccc2cc3c(ccc4c5ccc6ccccc6c5c5ccccc5c34)cc2c1 2.067 
c1ccc2cc3c(ccc4c5cc6ccccc6cc5c5ccccc5c34)cc2c1 1.937 
c1ccc2cc3c(ccc4c5cc6ccc7ccccc7c6cc5ccc34)cc2c1 1.994 
c1ccc2cc3c(ccc4c5cc6c(ccc7ccccc76)cc5ccc34)cc2c1 1.999 
c1ccc2cc3c(ccc4c5c6ccccc6ccc5c5ccccc5c34)cc2c1 2.062 
c1ccc2cc3c(ccc4c3ccc3ccc5c6ccccc6ccc5c34)cc2c1 2.132 
c1ccc2cc3c(ccc4c3ccc3ccc5cc6ccccc6cc5c34)cc2c1 2.231 
c1ccc2cc3c(ccc4c3ccc3ccc5ccc6ccccc6c5c34)cc2c1 2.191 
c1ccc2c(c1)ccc1c2c2ccccc2c2c3ccccc3c3ccccc3c12 2.403 
c1ccc2c(c1)ccc1cc3c4ccccc4c4ccc5ccccc5c4c3cc12 2.359 
c1ccc2c(c1)ccc1cc3c4ccccc4c4c5ccccc5ccc4c3cc12 2.384 
c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1c2ccccc2ccc31 2.43 
c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1ccc2ccccc2c13 2.441 
c1ccc2c(c1)c1ccccc1c1cc3c4ccccc4c4ccccc4c3cc21 2.871 
c1ccc2c(c1)ccc1ccc3cc4c5ccccc5c5ccccc5c4cc3c12 2.457 
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccc4ccccc4c2c13 2.353 
c1ccc2cc3c(cc2c1)c1c2ccccc2ccc1c1ccc2ccccc2c13 2.192 
c1ccc2cc3c(cc2c1)c1ccc2ccccc2c1c1c2ccccc2ccc31 2.156 
c1ccc2cc3c(cc2c1)c1ccc2ccccc2c1c1ccc2ccccc2c31 2.14 
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2ccccc2c31 2.17 
c1ccc2cc3c(cc2c1)c1ccccc1c1c3ccc2ccc3ccccc3c21 2.355 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5ccc6ccccc6c5c43)cc12 2.356 
c1ccc2c(c1)ccc1ccc3cc4c(ccc5ccc6ccccc6c54)cc3c12 2.126 
c1ccc2c(c1)ccc1cc3ccc4ccc5ccc6ccccc6c5c4c3cc12 2.359 
c1ccc2c(c1)ccc1ccc3cc4ccc5ccc6ccccc6c5c4cc3c12 2.17 
c1ccc2cc3cc4c(ccc5ccc6ccc7ccccc7c6c54)cc3cc2c1 1.693 
c1ccc2cc3cc4c(ccc5ccc6cc7ccccc7cc6c54)cc3cc2c1 1.544 
c1ccc2cc3cc4c(ccc5ccc6c7ccccc7ccc6c54)cc3cc2c1 1.717 
c1ccc2cc3cc4c(ccc5cc6ccc7ccccc7c6cc54)cc3cc2c1 1.819 
c1ccc2c(c1)ccc1ccc3ccc4ccc5c6ccccc6c6ccccc6c5c4c3c12 2.528 
c1ccc2c(c1)ccc1c3ccc4ccc5ccccc5c4c3c3c4ccccc4ccc3c21 2.307 
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2cc4ccccc4cc2c31 1.974 
c1ccc2cc3c(ccc4c5c6ccccc6ccc5c5cc6ccccc6cc5c34)cc2c1 1.829 
c1ccc2cc3c(ccc4c5ccc6ccccc6c5c5cc6ccccc6cc5c34)cc2c1 1.902 
c1ccc2cc3c(ccc4ccc5cc6c(ccc7ccc8ccccc8c76)cc5c43)cc2c1 1.879 
c1ccc2cc3c(ccc4ccc5cc6c(ccc7c8ccccc8ccc67)cc5c43)cc2c1 1.909 
c1ccc2cc3c(ccc4ccc5cc6c7ccccc7c7ccccc7c6cc5c43)cc2c1 2.051 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5cc6ccc7ccccc7c6cc5c43)cc12 2.087 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5cc6c(ccc7ccccc76)cc5c43)cc12 2.113 
c1ccc2c(c1)ccc1cc3ccc4ccc5cc6ccc7ccccc7c6cc5c4c3cc12 2.064 
c1ccc2cc3c(ccc4ccc5cc6ccc7c8ccccc8ccc7c6cc5c43)cc2c1 1.89 
c1ccc2c(c1)ccc1c3ccccc3c3c(ccc4ccc5ccc6ccccc6c5c43)c21 2.395 
c1ccc2cc3c(ccc4ccc5cc6ccc7ccc8ccccc8c7c6cc5c43)cc2c1 1.913 
c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1ccc2c4ccccc4ccc2c13 2.53 
c1ccc2c(c1)ccc1cc3c4ccccc4c4ccc5c6ccccc6ccc5c4c3cc12 2.431 
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2c4ccccc4c4ccccc4c2c13 2.416 
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2c(ccc4ccc5ccccc5c42)c13 2.284 
c1ccc2cc3c(cc2c1)c1ccc2ccccc2c1c1ccc2c4ccccc4ccc2c31 2.198 
c1ccc2cc3c(cc2c1)c1c2ccccc2ccc1c1ccc2c4ccccc4ccc2c13 2.25 
c1ccc2c(c1)ccc1c2ccc2ccc3cc4c(ccc5ccc6ccccc6c54)cc3c21 2.184 
c1ccc2c(c1)ccc1c3cc4ccc5ccc6c7ccccc7ccc6c5c4cc3ccc21 2.202 
c1ccc2c(c1)ccc1c2ccc2ccc3cc4c5ccccc5c5ccccc5c4cc3c21 2.537 
c1ccc2c(c1)ccc1ccc3c(c4ccccc4c4ccc5ccc6ccccc6c5c43)c12 2.479 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5c6ccccc6c6ccccc6c5c43)cc12 2.409 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5c(ccc6ccc7ccccc7c65)c43)cc12 2.284 
c1ccc2c(c1)ccc1cc3ccc4ccc5c6ccccc6c6ccccc6c5c4c3cc12 2.421 
c1ccc2c(c1)ccc1cc3ccc4ccc5c(ccc6ccc7ccccc7c65)c4c3cc12 2.291 
c1ccc2c(c1)ccc1c3cc4c(ccc5ccc6c7ccccc7ccc6c54)cc3ccc21 2.202 
c1ccc2c(c1)ccc1c2ccc2ccc3cc4ccc5ccc6ccccc6c5c4cc3c21 2.227 
c1ccc2cc3c(ccc4ccc5c6ccccc6c6ccc7ccccc7c6c5c43)cc2c1 2.244 
c1ccc2cc3c(ccc4ccc5c6ccccc6c6c7ccccc7ccc6c5c43)cc2c1 2.222 
c1ccc2cc3c(ccc4ccc5c6ccc7ccc8ccccc8c7c6ccc5c43)cc2c1 2.184 
c1ccc2cc3c(ccc4ccc5c6ccc7c8ccccc8ccc7c6ccc5c43)cc2c1 2.216 
c1ccc2c(c1)ccc1c3ccc4ccc5ccc6ccccc6c5c4c3c3ccccc3c21 2.455 
c1ccc2cc3c(ccc4ccc5c(ccc6c7ccccc7c7ccccc7c65)c43)cc2c1 2.135 
c1ccc2cc3c(ccc4c5ccccc5c5c6ccc7ccccc7c6ccc5c34)cc2c1 2.061 
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2c4ccc5ccccc5c4ccc2c13 2.275 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5c6ccc7ccccc7c6ccc5c43)cc12 2.317 
c1ccc2c(c1)ccc1cc3ccc4ccc5c6ccc7ccccc7c6ccc5c4c3cc12 2.297 
c1ccc2cc3c(ccc4ccc5c6ccc7ccccc7c6c6ccccc6c5c43)cc2c1 2.174 
c1ccc2cc3c(ccc4ccc5c6c7ccccc7ccc6c6ccccc6c5c43)cc2c1 2.173 
c1ccc2cc3c(ccc4ccc5c(ccc6ccc7c8ccccc8ccc7c65)c43)cc2c1 2.193 
c1ccc2cc3c(ccc4ccc5c(ccc6ccc7cc8ccccc8cc7c65)c43)cc2c1 1.998 
c1ccc2cc3c(ccc4ccc5c(ccc6ccc7ccc8ccccc8c7c65)c43)cc2c1 2.181 
c1ccc2c(c1)ccc1ccc3c4ccc5ccc6ccccc6c5c4c4ccccc4c3c12 2.539 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccc4ccc5ccccc5c4c2cc31 2.496 
c1ccc2cc3c(cc2c1)c1cc2c(ccc4ccccc42)cc1c1c2ccccc2ccc31 2.283 
c1ccc2cc3c(cc2c1)c1cc2c(ccc4ccccc42)cc1c1ccc2ccccc2c13 2.289 
c1ccc2c(c1)ccc1cc3c4ccccc4c4cc5ccc6ccccc6c5cc4c3cc12 2.551 
c1ccc2cc3c(cc2c1)c1cc2ccc4ccccc4c2cc1c1c2ccccc2ccc31 2.219 
c1ccc2cc3c(cc2c1)c1cc2ccc4ccccc4c2cc1c1ccc2ccccc2c13 2.234 
c1ccc2c(c1)ccc1cc3c4cc5ccc6ccccc6c5cc4c4ccccc4c3cc12 2.568 
c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1cc2ccc4ccccc4c2cc13 2.641 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2c4ccccc4c4ccccc4c2cc31 2.518 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2c(ccc4ccc5ccccc5c42)cc31 2.503 
c1ccc2c(c1)c1ccccc1c1c2c2ccccc2c2c3ccccc3c3ccccc3c21 2.396 
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1c3ccc2ccc3ccccc3c21 2.306 
c1ccc2cc3c(ccc4c5cc6ccccc6cc5c5cc6ccccc6cc5c34)cc2c1 1.88 
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1c2ccc4ccccc4c2ccc31 2.357 
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1c2ccccc2c2ccccc2c31 2.1 
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1cc2c(ccc4ccccc42)cc31 2.548 
c1ccc2cc3c(ccc4cc5c(ccc6ccc7ccc8ccccc8c7c65)cc43)cc2c1 2.306 
c1ccc2cc3c(ccc4cc5c(ccc6ccc7cc8ccccc8cc7c65)cc43)cc2c1 2.037 
c1ccc2cc3c(ccc4cc5c(ccc6ccc7c8ccccc8ccc7c65)cc43)cc2c1 2.302 
c1ccc2cc3c(ccc4cc5c(ccc6cc7ccc8ccccc8c7cc65)cc43)cc2c1 2.23 
c1ccc2cc3c(ccc4cc5c(ccc6cc7c(ccc8ccccc87)cc65)cc43)cc2c1 2.199 
c1ccc2c(c1)ccc1ccc3c(c4ccccc4c4c5ccccc5c5ccccc5c34)c12 2.354 
c1ccc2cc3c(ccc4cc5c6cc7ccccc7cc6c6ccccc6c5cc43)cc2c1 2.251 
c1ccc2c(c1)ccc1cc3ccc4cc5c(ccc6c7ccccc7ccc56)cc4c3cc12 2.291 
c1ccc2c(c1)ccc1cc3c(ccc4cc5c(ccc6c7ccccc7ccc56)cc43)cc12 2.239 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2c(ccc4c5ccccc5ccc24)cc31 2.455 
c1ccc2cc3c(ccc4cc5c(ccc6c7ccccc7c7ccccc7c56)cc43)cc2c1 2.241 
c1ccc2cc3c(ccc4cc5c(ccc6c5ccc5c7ccccc7ccc56)cc43)cc2c1 2.265 
c1ccc2cc3c(ccc4cc5c(ccc6c5ccc5ccc7ccccc7c56)cc43)cc2c1 2.279 
c1ccc2c(c1)ccc1cc3ccc4cc5c6ccccc6c6ccccc6c5cc4c3cc12 2.506 
c1ccc2cc3c(ccc4cc5c(cc43)c3ccccc3c3ccc4ccccc4c35)cc2c1 2.344 
c1ccc2cc3c(ccc4cc5c(cc43)c3ccccc3c3c4ccccc4ccc53)cc2c1 2.367 
c1ccc2c(c1)ccc1c2c2c3ccccc3ccc2c2c3ccccc3c3ccccc3c12 2.386 
c1ccc2cc3c(ccc4cc5c6ccccc6c6c7ccccc7ccc6c5cc43)cc2c1 2.272 
c1ccc2cc3c(ccc4cc5c6ccccc6c6ccc7ccccc7c6c5cc43)cc2c1 2.226 
c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6ccc7ccccc7c6c5cc43)cc12 2.265 
c1ccc2c(c1)ccc1cc3ccc4cc5c(ccc6ccc7ccccc7c65)cc4c3cc12 2.327 
c1ccc2c(c1)ccc1cc3c(ccc4cc5c(ccc6ccc7ccccc7c65)cc43)cc12 2.273 
c1ccc2c(c1)ccc1cc3c(ccc4cc5c6ccccc6c6ccccc6c5cc43)cc12 2.422 
c1ccc2c(c1)ccc1cc3ccc4cc5ccc6ccc7ccccc7c6c5cc4c3cc12 2.313 
c1ccc2cc3c(ccc4cc5ccc6c(ccc7ccc8ccccc8c76)c5cc43)cc2c1 2.354 
c1ccc2cc3c(ccc4cc5ccc6c(ccc7c8ccccc8ccc76)c5cc43)cc2c1 2.402 
c1ccc2cc3c(ccc4cc5ccc6c7ccccc7c7ccccc7c6c5cc43)cc2c1 2.247 
c1ccc2c(c1)ccc1c2c2ccc3ccccc3c2c2c3ccccc3c3ccccc3c12 2.354 
c1ccc2c(c1)ccc1cc3ccc4cc5ccc6c7ccccc7ccc6c5cc4c3cc12 2.33 
c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6c7ccccc7ccc6c5cc43)cc12 2.297 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccc4c5ccccc5ccc4c2cc31 2.462 
c1ccc2cc3c(ccc4cc5ccc6cc7ccc8ccccc8c7cc6c5cc43)cc2c1 2.276 
c1ccc2cc3c(ccc4cc5ccc6cc7c(ccc8ccccc87)cc6c5cc43)cc2c1 2.286 
c1ccc2cc3c(ccc4cc5c6ccccc6c6cc7ccccc7cc6c5cc43)cc2c1 2.25 
c1ccc2cc3c(ccc4cc5ccc6ccc7c8ccccc8ccc7c6c5cc43)cc2c1 2.317 
c1ccc2cc3c(ccc4cc5ccc6ccc7cc8ccccc8cc7c6c5cc43)cc2c1 1.997 
c1ccc2cc3c(ccc4cc5ccc6ccc7ccc8ccccc8c7c6c5cc43)cc2c1 2.326 
c1ccc2c(c1)ccc1c3cc4ccc5ccc6ccc7ccccc7c6c5c4cc3ccc21 2.172 
c1ccc2c(c1)ccc1c2c2ccccc2c2c3c4ccccc4ccc3c3ccccc3c12 2.327 
